Connecting to host knb-server-165845, port 5201
[  5] local 10.136.173.66 port 60764 connected to 10.43.144.32 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  24.1 MBytes   202 Mbits/sec    0   1.07 MBytes       (omitted)
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   2.21 MBytes       
[  5]  41.00-42.00  sec  33.8 MBytes   283 Mbits/sec    0   2.80 MBytes       
[  5]  42.00-43.00  sec  32.5 MBytes   273 Mbits/sec   66   1.44 MBytes       
[  5]  43.00-44.00  sec  31.2 MBytes   262 Mbits/sec    0   1.52 MBytes       
[  5]  44.00-45.00  sec  33.8 MBytes   283 Mbits/sec    0   1.58 MBytes       
[  5]  45.00-46.00  sec  33.8 MBytes   283 Mbits/sec    0   1.62 MBytes       
[  5]  46.00-47.00  sec  35.0 MBytes   294 Mbits/sec    0   1.65 MBytes       
[  5]  47.00-48.00  sec  35.0 MBytes   294 Mbits/sec    0   1.66 MBytes       
[  5]  48.00-49.00  sec  30.0 MBytes   252 Mbits/sec    0   1.67 MBytes       
[  5]  49.00-50.00  sec  26.2 MBytes   220 Mbits/sec    0   1.67 MBytes       
[  5]  50.00-51.00  sec  23.8 MBytes   199 Mbits/sec    0   1.67 MBytes       
[  5]  51.00-52.00  sec  31.2 MBytes   262 Mbits/sec    0   1.67 MBytes       
[  5]  52.00-53.00  sec  35.0 MBytes   294 Mbits/sec    0   1.68 MBytes       
[  5]  53.00-54.00  sec  28.8 MBytes   241 Mbits/sec    0   1.69 MBytes       
[  5]  54.00-55.00  sec  26.2 MBytes   220 Mbits/sec    0   1.70 MBytes       
[  5]  55.00-56.00  sec  26.2 MBytes   220 Mbits/sec    0   1.73 MBytes       
[  5]  56.00-57.00  sec  31.2 MBytes   262 Mbits/sec    0   1.77 MBytes       
[  5]  57.00-58.00  sec  31.2 MBytes   262 Mbits/sec    0   1.83 MBytes       
[  5]  58.00-59.00  sec  31.2 MBytes   262 Mbits/sec    0   1.90 MBytes       
[  5]  59.00-60.00  sec  33.8 MBytes   283 Mbits/sec    0   2.00 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  1.81 GBytes   258 Mbits/sec  1552             sender
[  5]   0.00-60.11  sec  1.81 GBytes   258 Mbits/sec                  receiver

iperf Done.
